date,channel,orders,gross_sales,refunds
2026-08-10,Direct,30,2300.00,60.00
2026-08-10,Partners,20,1800.00,20.00
2026-08-10,Paid search,40,2700.00,120.00
2026-08-17,Direct,35,2500.00,0.00
2026-08-17,Partners,22,1900.00,50.00
2026-08-17,Paid search,45,3000.00,100.00
2026-08-24,Direct,40,2800.00,80.00
2026-08-24,Partners,25,2100.00,0.00
2026-08-24,Paid search,46,3100.00,120.00
2026-08-31,Direct,45,3300.00,50.00
2026-08-31,Partners,28,2200.00,20.00
2026-08-31,Paid search,50,3500.00,130.00
2026-09-07,Direct,52,3900.00,80.00
2026-09-07,Partners,31,2500.00,0.00
2026-09-07,Paid search,57,3900.00,150.00
2026-09-14,Direct,60,4800.00,120.00
2026-09-14,Partners,36,2820.00,0.00
2026-09-14,Paid search,69,4440.00,190.00
